NRC,Weight,Height,BMI,Systolic,SystolicIfUnrecordable,Diastolic,DiastolicIfUnrecordable,Temperature,PulseRate,RespiratoryRate,OxygenSaturation,MUAC,MUACScore,AbdominalCircumference,HeadCircumference,HCScore,RandomBloodSugar,Comment,VitalsDate,UserName,Password,Province,District,Facility
111111/11/1,68,168,24.09,132,0,67,0,36,62,19,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,4/1/2023 15:48,tester,tester2023!,,,
111111/11/1,65,178,20.52,110,0,80,0,36.7,72,18,99,NULL,-1,NULL,NULL,NULL,NULL,Stable,2/14/2023 1:39,tester,tester2023!,,,
111111/11/1,75,175,24.49,110,0,64,0,36,65,18,87,NULL,-1,NULL,NULL,NULL,NULL,wetfkeytwfew,4/1/2023 12:51,tester,tester2023!,,,
111111/11/1,150,12,10416.67,90,0,60,0,37,65,18,NULL,20,Normal MUAC >/= 12.5cm,NULL,NULL,NULL,NULL,NULL,5/12/2024 17:44,tester,tester2023!,,,
111111/11/1,12,12,833.33,12,0,12,0,12,12,12,12,NULL,-1,12,15,NULL,20,12xsc,4/8/2024 11:26,tester,tester2023!,,,
111111/11/1,65,178,20.52,112,0,81,0,37,70,16,98,NULL,-1,32,NULL,NULL,NULL,NULL,4/8/2024 12:01,tester,tester2023!,,,
111111/11/1,80,178,25.25,110,0,68,0,36.3,67,18,98,NULL,-1,NULL,NULL,NULL,NULL,NULL,4/8/2024 10:10,tester,tester2023!,,,
111111/11/1,54,152,23.37,100,0,60,0,36.8,83,18,98,NULL,-1,NULL,NULL,NULL,NULL,NULL,1/1/2023 15:34,tester,tester2023!,,,
111111/11/1,22,22,454.55,90,0,60,0,37,83,18,98,NULL,,NULL,NULL,,NULL,,4/21/2024 6:38,tester,tester2023!,,,
111111/11/1,105,145,49.94,179,0,110,0,38,60,19,98,NULL,-1,NULL,NULL,NULL,NULL,NULL,4/2/2023 11:59,tester,tester2023!,,,
111111/11/1,55,152,23.81,90,0,90,0,37,80,18,99,NULL,-1,NULL,NULL,NULL,NULL,NULL,5/12/2024 11:29,tester,tester2023!,,,
111111/11/1,40,143,19.56,100,0,70,0,36.7,83,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,1/1/2023 12:53,tester,tester2023!,,,
111111/11/1,22,22,454.55,90,0,60,0,37,22,22,22,NULL,,NULL,NULL,,NULL,,4/21/2024 7:35,tester,tester2023!,,,
111111/11/1,75,176,24.21,110,0,64,0,36,65,18,97,NULL,-1,NULL,NULL,NULL,NULL,NULL,1/1/2023 14:48,tester,tester2023!,,,
